Date,Mag.,SN Position,Type
2010 09 02,17.5,17 16 33.34 +57 52 08.3,?
2010 09 02,17.6,03 37 52.61 +04 56 52.2,Ia
2010 08 04,17.1,21 49 09.84 -59 02 23.2,Ia
2010 09 01,18.0,18 13 00.76 +68 21 53.4,?
2010 09 01,18.3,17 59 18.38 +45 52 32.0,Ia
2010 09 01,15.0,09 46 13.7  -30 27 13.3,Ia
2010 08 31,18.3,06 37 19.77 +56 22 57.8,IIb
2010 08 20,17.6,02 49 10.80 -14 27 00.1,Ia
2010 08 07,17.6,22 41 51.84 -46 05 45.4,IIn
2010 08 05,16.3,19 55 08.24 -39 21 58.5,IIb
2010 08 24,17.5,03 07 01.66 +46 37 20.2,?
2010 08 19,18.9,02 00 24.84 +24 34 43.3,?
2010 08 16,16.0,01 32 51.07 -12 11 21.5,?
2010 08 05,20.8,02 27 12.04 -04 32 04.9,Ia
2010 08 13,18.6,11 25 46.71 -08 49 41.4,Ic
2010 08 10,16.6,20 23 25.31 -71 34 04.9,IIp
2010 08 09,16.4,17 58 22.56 +50 47 34.0,Ia
2010 08 07,18.0,22 19 23.16 -36 58 24.5,?
2010 08 02,18.0,20 51 22.38 -52 32 48.1,?
2010 08 01,16.6,20 45 39.51 -05 35 11.8,II
2010 07 29,17.8,02 33 58.96 +44 20 50.2,Ib/c
2010 07 21,16.8,00 17 25.7  -00 58 37.7,II
2010 07 14,17.5,16 52 57.39 +02 23 16.4,Ia
2010 07 20,16.9,12 50 00.16 -07 54 59.9,?
2010 07 07,16.6,17 17 49.9  +40 52 52.0,Ia
2010 07 19,17.9,17 33 20.87 +44 06 16.4,Ia
2010 07 18,18.8,16 31 38.62 +59 37 26.2,Ia
2010 07 17,19.0,14 02 35.94 +32 30 30.7,Ic?
2010 07 10,17.0,21 50 54.34 -17 46 09.4,Ia-p
2010 07 18,15.3,17 21 46.1  +75 50 44.3,?
2010 07 13,16.9,15 05 13.46 -43 30 59.6,IIP
2010 07 12,17.7,22 31 25.47 -19 01 54.8,II
2010 07 11,18.9,01 01 21.14 +31 30 46.4,II
2010 06 10,17.7,15 43 43.91 -09 28 34.0,?
2010 07 08,19.9,17 57 40.98 +27 49 48.1,Ic
2010 07 12,16.8,13 23 06.30 -13 00 18.1,Ia
2010 07 11,16.5,15 38 39.79 +41 00 19.9,Ia
2010 07 08,17.3,00 34 43.83 +09 54 36.1,Ia
2010 07 09,15.8,09 42 04.77 +00 19 51.0,Ia
2010 07 07,17.7,05 24 52.46 -46 46 37.1,Ia
2010 07 04,17.4,23 03 43.29 -07 13 54.2,IIP
2010 07 02,18.4,17 47 32.41 +64 01 24.3,II
2010 07 01,20.1,15 13 06.52 +41 16 05.5,?
2010 06 16,22.6,12 21 46.46 +46 39 13.3,Ia
2010 06 15,21.8,16 01 15.41 +54 17 53.5,Ia
2010 06 15,22.3,14 14 03.34 +53 21 43.8,Ia
2010 06 15,22.3,14 11 57.76 +52 04 18.6,Ia
2010 06 15,22.5,12 21 59.47 +45 50 50.0,Ia
2010 06 15,22.3,12 14 06.50 +46 59 32.4,Ia
2010 06 06,22.0,16 18 53.81 +55 46 58.5,Ia
2010 06 06,21.9,16 18 15.87 +55 23 04.9,Ia
2010 06 06,21.6,16 17 47.71 +55 18 08.2,Ia
2010 06 06,21.5,16 13 48.22 +55 36 30.7,Ia
2010 06 06,22.1,16 11 19.41 +53 38 15.0,IIb
2010 06 06,23.1,16 06 48.80 +54 58 51.4,Ia
2010 06 06,22.1,16 05 44.83 +56 04 27.9,Ia
2010 06 06,22.3,14 17 18.59 +53 58 41.9,Ia
2010 06 06,22.8,12 16 41.57 +46 41 23.9,Ia
2010 06 03,22.9,14 09 19.94 +54 15 45.2,Ia
2010 06 01,22.4,16 08 52.65 +55 00 17.4,Ia
2010 06 01,22.4,14 07 14.93 +53 59 51.4,Ia
2010 05 31,22.5,16 14 28.71 +54 43 33.0,Ia
2010 05 31,22.2,16 08 18.40 +54 54 29.2,Ia
2010 05 13,21.9,14 13 01.87 +54 27 46.6,Ia
2010 05 10,21.1,12 17 50.30 +47 26 48.3,Ia
2010 06 30,16.9,03 41 31.50 -19 54 00.4,Ia
2010 07 01,16.1,23 00 10.90 +26 05 57.2,Ia
2010 06 28,16.6,18 37 11.88 +30 37 49.6,Ia
2010 06 27,14.3,10 25 28.99 -39 49 51.2,Ia
2010 06 20,18.7,21 31 36.16 +12 28 51.1,?
2010 06 16,18.8,17 16 54.08 +31 33 50.6,?
2010 06 16,18.8,16 33 17.92 +11 45 04.9,?
2010 06 09,17.8,15 50 11.14 +12 16 42.5,?
2010 05 31,17.6,15 34 47.41 +02 05 49.7,?
2010 05 25,18.1,16 01 08.91 +34 50 41.6,?
2010 05 21,17.6,13 50 45.79 +19 26 18.2,?
2010 05 13,19.0,15 50 16.02 +04 43 34.0,?
2010 06 18,18.4,22 54 20.33 +11 46 54.7,II
2010 06 19,16.8,04 19 58.83 -54 56 38.5,Ia-p
2010 06 15,18.8,22 48 40.96 +27 37 11.4,IIb
2010 06 15,19.2,14 13 56.74 +31 32 25.1,II
2010 06 12,17.5,14 54 07.69 +42 32 54.6,II
2010 06 13,17.4,20 48 13.54 -05 48 13.0,Ic?
2010 06 07,18.5,22 15 42.56 -09 20 17.3,Ia
2010 06 05,19.1,16 28 52.10 +26 22 29.0,Ia
2010 06 14,19.0,13 40 17.99 +26 21 11.9,II
2010 06 12,18.7,17 09 24.13 +22 12 48.1,Ia
2010 06 05,17.1,01 41 55.93 -13 05 01.6,Ia
2010 06 12,14.7,01 21 37.78 +05 17 39.9,Ia?
2010 05 29,17.6,12 45 29.52 +53 51 49.2,?
2010 05 31,18.1,13 50 44.39 +17 03 58.5,?
2010 06 06,17.9,16 10 11.03 +00 45 07.5,Ia
2010 06 08,17.4,21 15 11.09 -47 13 34.3,II
2010 06 05,17.3,15 22 40.31 -05 55 15.9,Ia
2010 06 04,17.5,11 49 03.43 -37 30 59.7,?
2010 05 25,18.8,18 13 58.75 +21 30 15.7,II
2010 06 01,18.6,16 43 14.68 +32 40 30.4,Ia
2010 05 22,16.4,19 15 51.46 -56 12 30.9,?
2010 06 03,18.5,23 52 13.04 +47 23 42.5,II
2010 06 03,17.3,00 15 29.70 +17 19 41.0,Ia
2010 05 18,16.7,09 32 03.70 -05 53 38.1,Ia
2010 06 02,17.2,13 57 28.11 +06 05 48.5,Ic
2010 05 23,18.2,12 11 33.31 +47 16 29.1,Ia
2010 05 24,16.4,21 35 00.97 -00 30 47.8,Ia
2010 05 16,19.3,14 28 56.16 +20 19 04.0,?
2010 05 12,18.5,11 57 34.72 +24 42 27.7,?
2010 05 12,18.7,08 52 47.28 +53 14 06.1,?
2010 05 09,18.0,10 56 37.19 +20 14 41.9,?
2010 05 07,19.2,10 34 04.31 +38 32 30.4,?
2010 05 05,18.9,12 58 39.67 -03 26 43.1,?
2010 04 10,17.4,16 12 29.20 -00 44 41.1,?
2010 05 23,17.2,16 52 47.60 +51 03 45.7,Ia
2010 05 22,17.2,19 27 17.72 -59 18 44.9,Ib/c
2010 05 15,17.8,22 40 56.89 -07 03 06.4,?
2010 05 13,17.0,14 43 42.85 +03 58 16.2,Ia
2010 05 05,18.3,13 00 31.43 +41 44 44.4,II
2010 04 11,17.8,09 33 56.84 +38 48 35.7,?
2010 04 09,18.8,09 36 19.28 +29 21 01.3,?
2010 02 24,17.7,13 20 35.36 +34 08 22.2,?
2010 03 15,19.2,10 44 50.02 +06 36 05.3,II
2010 05 12,19.6,14 47 55.78 +19 03 17.7,Ia
2010 05 15,17.0,13 29 25.04 +11 47 46.4,?
2010 05 08,16.4,21 01 44.10 -14 38 30.5,?
2010 05 09,17.5,13 00 25.82 -15 17 19.9,Ia
2010 05 06,16.1,20 08 54.92 -56 23 40.8,IIP
2010 05 04,17.6,11 04 06.57 +04 49 58.7,Ib?
2010 05 03,16.3,01 30 03.91 -42 41 10.6,?
2010 04 29,17.1,09 50 12.32 -12 03 09.2,IIP
2010 04 25,16.1,14 04 11.29 +33 18 22.2,II
2010 04 12,17.9,08 47 57.98 +51 08 41.2,?
2010 04 12,17.7,07 52 58.89 +05 29 29.9,?
2010 04 09,18.2,15 05 24.04 +02 58 34.9,?
2010 04 09,17.5,15 30 37.56 +00 52 41.9,?
2010 04 09,18.2,15 23 21.84 +02 19 01.0,?
2010 04 08,17.7,09 35 30.01 +01 28 31.8,Ia
2010 04 05,18.6,11 58 01.18 -06 29 30.6,?
2010 03 21,19.3,12 14 43.72 +43 36 51.8,?
2010 03 21,18.4,12 24 47.84 +32 06 54.9,?
2010 03 20,19.1,08 38 31.11 +14 00 39.1,?
2010 03 19,18.5,13 18 30.11 +44 20 22.9,?
2010 03 18,18.4,15 14 39.61 +28 25 21.4,?
2010 03 17,19.0,09 27 42.21 +44 34 36.5,?
2010 03 12,19.4,11 37 56.59 +10 53 38.0,Ia
2010 04 19,15.4,22 14 01.89 -26 55 44.6,Ia
2010 04 09,16.9,15 42 58.38 +02 16 52.6,Ia
2010 04 17,15.8,12 48 20.22 -34 57 16.5,IIn
2010 04 15,17.5,12 21 41.46 +40 51 19.2,II
2010 04 10,17.7,12 03 10.95 +44 31 43.1,Ib/c
2010 04 14,17.2,16 46 55.41 +34 09 35.4,IIn
2010 04 14,15.2,14 12 07.89 -49 23 43.3,Ia
2010 04 10,15.8,15 56 22.57 -31 32 09.8,?
2010 04 05,17.2,11 44 55.72 -05 04 44.2,Ia
2010 04 04,18.3,11 22 04.65 +09 26 44.5,IIP
2010 04 07,16.5,12 40 34.92 -20 33 40.8,Ia
2010 04 04,17.6,12 27 38.47 -08 16 39.3,IIP
2010 03 27,16.1,07 17 43.21 +23 21 03.8,IIP
2010 03 24,17.7,11 04 25.49 +04 50 17.6,IIP
2010 02 24,20.4,10 57 41.25 +57 36 47.9,Ia
2010 02 24,20.2,10 48 15.79 +57 24 19.5,Ic
2010 01 19,20.2,02 19 46.55 -03 12 10.5,Ia
2010 01 16,22.7,12 19 37.53 +46 01 56.0,II
2010 01 16,22.5,10 48 07.06 +56 51 00.4,Ia
2010 01 16,20.4,10 44 38.22 +57 48 40.1,Ia
2010 03 21,15.2,11 58 20.68 +15 20 10.8,Ia
2010 02 16,17.7,12 56 59.62 -17 37 35.5,Ia
2010 03 17,17.5,12 35 27.19 +27 04 02.8,Ic
2010 03 15,17.0,14 41 53.42 +10 45 01.4,Ia
2010 03 19,18.3,17 16 12.28 +31 47 36.4,II
2010 03 19,17.9,15 06 57.01 +56 30 27.8,Ib/c
2010 03 15,16.7,09 12 36.39 +34 51 17.0,Ia
2010 03 19,17.2,12 04 59.47 +76 07 52.3,Ia-p
2010 03 19,15.5,15 49 49.23 -29 23 09.7,Ib/c
2010 02 15,19.2,10 03 26.06 +01 01 46.2,Ia
2010 02 15,21.0,10 02 09.74 +01 14 00.9,IIP
2010 02 12,20.4,08 36 12.61 +44 00 25.5,Ia
2010 03 18,19.0,13 43 40.99 +03 54 00.1,Ia
2010 03 11,17.0,16 17 40.46 +35 00 10.1,Ia
2010 03 12,17.8,09 33 01.75 +15 49 08.8,IIb
2010 03 13,17.8,08 14 15.91 +18 26 18.2,IIn
2010 03 11,18.2,16 10 50.01 +17 58 36.1,Ic
2010 03 12,17.1,12 40 15.16 -09 18 14.3,IIP
2010 03 08,16.9,12 59 24.03 +27 59 47.1,Ia
2010 02 23,18.8,11 44 02.99 +55 41 27.6,Ic
2010 03 05,16.5,17 03 53.63 +31 30 06.2,Ia
2010 03 04,17.2,11 39 19.3  +89 06 05.7,Ia
2010 02 22,15.9,07 15 54.65 -57 20 36.9,Ia-p
2010 02 18,16.0,16 02 13.56 +15 56 18.8,II?
2010 02 13,16.6,13 58 24.35 -34 30 55.4,Ic
2010 02 11,18.3,09 35 56.03 +74 00 00.6,II
2010 02 09,16.4,01 48 43.21 -48 39 00.7,?
2010 02 03,16.7,09 16 21.30 +17 43 40.6,?
2010 02 08,15.9,10 51 03.95 +65 46 47,Ia
2010 02 07,16.7,04 48 27.90 +73 28 14.8,Ic
2010 02 07,16.7,11 56 48.07 -38 11 11.3,?
2010 02 04,14.3,14 28 38.46 +30 38 09.5,Ia
2010 02 05,16.0,12 15 41.07 +36 20 02.6,?
2010 01 25,18.2,13 14 47.88 -15 58 24.8,?
2010 01 16,18.4,01 39 04.48 -00 37 12.2,Ic
2010 01 15,18.3,12 17 10.49 +25 39 58.7,Ia
2010 01 15,19.2,10 26 27.11 +39 01 50.9,Ic
2010 01 18,18.3,11 28 31.38 +58 33 49.3,?
2010 01 24,15.6,11 28 33.86 +58 33 51.6,Ib
2010 01 12,16.7,13 09 05.24 +17 04 22.3,Ia
2010 01 13,18.8,03 21 37.59 +26 36 50.3,IIn
2010 01 12,18.5,02 23 28.78 +05 35 30.6,Ia
2010 01 08,16.4,12 02 46.87 +02 24 06.1,IIP
2010 01 08,19.7,11 15 26.75 +08 06 43.7,Ia
2010 01 08,18.1,10 12 13.27 -01 49 00.1,Ia
2010 01 16,15.3,08 06 24.36 +01 02 09.1,Ia
2010 01 09,19.4,12 25 10.01 +45 19 43.9,Ia
2010 01 13,14.8,10 05 21.05 -34 13 21.0,II
2009 12 23,17.0,02 02 32.48 -79 40 52.5,II
2010 01 10,17.0,10 31 44.28 +46 40 05.0,II
2010 01 10,18.8,10 51 29.87 +09 16 33.1,?
2010 01 07,14.1,13 54 08.82 +60 40 49.6,Ia
2010 01 04,16.0,02 32 39.46 +00 37 10.2,Ia
2009 12 09,21.6,02 26 19.9  -18 57 09,?
2009 10 20,18.2,22 11 23.59 -09 12 44.4,Ib
2009 12 20,19.0,00 44 11.67 +23 44 25.4,
2009 12 18,19.4,10 40 10.86 +22 37 35.5,IIn
2009 12 18,19.1,12 02 55.28 +15 35 02.4,Ia
2009 12 15,18.7,02 20 37.69 +02 24 14.7,II
2009 11 20,19.6,23 11 03.12 +20 26 19.6,Ia
2009 10 15,16.9,02 15 37.60 -03 25 41.0,Ia
2009 12 22,13.6,13 10 58.95 +11 29 29.3,Ia
2009 12 28,16.2,23 15 16.97 +19 01 22.5,Ia
2009 12 15,18.0,12 27 06.62 +06 25 33.3,Ic?
2009 12 27,17.3,12 51 54.75 +26 04 03.5,Ia
2009 12 05,17.3,12 33 56.42 +13 55 09.0,IIn
2009 11 20,18.8,10 05 24.54 +51 16 38.7,IIn
2009 10 23,18.7,03 39 47.78 -11 13 25.0,Ic
2009 12 29,17.0,14 10 58.77 +06 21 47.8,Ia
2009 12 17,18.8,11 06 36.88 +34 19 51.6,IIn
2009 12 16,18.4,08 44 41.49 -06 19 35.3,Ia
2009 11 26,19.3,09 10 59.01 +15 36 41.1,Ic
2009 11 21,17.9,01 37 28.24 +25 34 50.2,Ia
2009 11 11,19.8,01 58 56.97 -07 16 58.3,IIb
2009 11 10,18.6,12 07 36.61 +20 42 13.4,Ia
2009 11 09,19.3,02 00 53.94 +13 52 15.3,Ia
2009 11 08,18.6,11 33 07.28 +24 41 30.8,Ia
2009 12 25,18.3,10 28 04.68 -35 30 02.2,IIP
2009 12 26,15.3,10 47 01.42 +26 32 38.1,Ia
2009 12 26,15.1,14 03 24.64 -06 03 31.3,Ia
2009 12 24,17.8,11 10 46.38 +12 01 14.6,II
2009 12 24,18.3,09 20 37.72 +33 38 52.9,Ia-p
2009 12 23,18.3,09 47 14.96 -24 51 18.8,IIP
2009 12 16,17.4,07 15 39.74 +35 14 28.5,Ia
2009 12 21,18.2,09 51 57.75 -33 04 42.4,IIb
2009 11 25,17.1,04 02 57.68 +17 56 26.7,Ia
2009 11 18,20.0,10 39 55.40 +39 48 10.9,Ia
2009 11 15,19.5,22 25 59.56 +17 13 33.0,Ia
2009 11 11,20.1,23 44 59.82 - 3 59 13.7,Ia
2009 10 17,20.2,09 23 59.78 +14 06 47.7,Ia
2009 10 17,20.2,09 14 24.15 +15 51 10.3,Ia
2009 10 15,21.5,06 31 36.88 +25 19 35.9,Ia
2009 10 15,20.6,02 56 23.61 +41 40 31.6,Ia
2009 10 14,20.9,23 53 33.47 -10 09 49.9,Ia
2009 12 15,15.3,00 06 21.37 -41 28 59.8,IIb
2009 12 10,17.8,06 53 12.15 +44 04 16.6,Ia
2009 12 12,15.4,05 52 38.23 -17 47 02.5,Ic
2009 12 12,16.6,11 43 55.93 +10 46 55.2,Ia
2009 12 07,17.3,06 21 44.86 -59 44 26.0,IIb
2009 12 06,16.2,01 00 55.88 +47 41 07.7,II
2009 12 03,18.1,12 09 39.86 +43 40 30.0,Ia
2009 12 04,16.5,10 48 26.28 +12 32 02.8,II
2009 11 21,18.1,08 55 59.81 -05 19 44.6,Ia
2009 10 18,19.0,09 11 09.20 +19 59 45.2,IIn
2009 10 17,18.2,08 28 58.20 -00 35 12.3,IIn
2009 09 25,18.8,00 12 59.46 +14 41 21.3,IIp
2009 11 06,19.0,00 41 12.70 -09 08 53.0,Ia
2009 11 24,17.1,11 40 18.85 +03 00 18.4,IIP
2009 11 24,18.8,02 28 12.09 +31 18 46.3,Ib?
2009 11 19,17.4,00 16 26.57 +22 26 10.1,Ia
2009 11 20,18.0,10 54 20.96 -04 20 39.1,Ia
2009 11 21,19.7,01 30 54.49 +18 36 39.9,Ia
2009 11 23,15.1,10 51 14.57 +05 50 58.9,II
2009 11 23,17.3,23 14 14.43 -02 45 11.9,Ia
2009 11 23,17.9,04 14 52.54 -62 50 14.8,IIP
2009 11 17,16.5,10 37 28.45 -27 39 18.9,Ia
2009 11 20,18.2,01 09 21.48 +14 20 22.8,IIP
2009 11 18,18.2,03 07 56.50 +16 21 45.5,IIP
2009 11 17,18.5,09 43 12.07 -09 36 19.9,IIP
2009 11 12,18.4,06 42 12.52 -61 04 27.2,IIP
2009 11 17,17.8,01 57 08.66 +04 05 07.3,IIP
2009 11 13,19.0,03 12 32.49 +39 18 42.0,Ic
2009 11 16,18.0,00 22 51.40 +06 58 11.8,Ia
2009 11 16,17.7,09 53 22.52 -18 38 26.1,Ia
2009 11 10,18.0,23 38 49.93 +28 15 54.2,Ia
2009 11 06,18.5,02 01 39.61 +15 19 58.1,Ia
2009 11 16,16.6,02 09 17.14 -23 24 44.8,Ia
2009 11 05,18.5,22 49 48.41 +11 38 46.8,IIP
2009 11 14,17.7,21 36 50.46 -46 57 33.7,?
2009 11 12,17.3,04 04 35.97 +33 17 27.0,IIP
2009 11 12,15.7,04 22 45.74 -40 36 48.1,Ia
2009 10 18,21.0,02 22 40.07 -04 01 38.3,Ia
2009 10 18,20.8,03 34 28.80 -27 54 30.3,Ia
2009 10 18,21.0,02 21 13.75 -03 54 35.8,Ia
2009 10 18,21.3,03 38 23.39 -28 15 11.8,Ia
2009 10 18,21.2,02 21 06.60 -05 01 23.8,Ia
2009 10 04,19.9,03 29 53.23 -28 05 12.2,Ia-p
2009 09 30,21.5,02 28 28.37 -04 04 44.1,Ia
2009 09 22,21.1,22 15 48.06 +01 11 05.4,Ia
2009 11 06,16.0,05 12 03.30 -15 41 52.2,II
2009 11 05,18.5,08 36 15.09 +28 04 01.7,Ia
2009 11 03,15.1,16 49 51.49 +55 32 35.8,Ia
2009 10 28,16.6,08 01 58.38 +15 03 34.7,Ia
2009 10 26,16.6,08 09 43.04 -17 44 51.3,IIn
2009 10 23,16.5,03 02 59.01 -14 49 01.9,Ia
2009 10 23,16.8,10 07 56.75 -35 13 59.3,IIP
2009 10 15,15.5,03 49 44.27 -03 15 51.9,Ia
2009 06 16,21.0,14 13 25.21 +52 51 31.0,?
2009 06 14,21.0,16 14 08.64 +55 41 41.9,?
2009 06 10,21.7,16 13 20.25 +53 58 42.2,?
2009 06 10,21.9,16 17 56.05 +54 58 01.3,?
2009 06 10,21.8,16 12 54.00 +55 38 13.8,II-P
2009 06 10,21.3,16 07 24.69 +54 00 17.9,?
2009 06 10,22.0,12 25 08.49 +46 59 44.2,?
2009 06 10,21.9,12 23 20.35 +46 18 14.4,?
2009 05 12,21.2,16 12 08.54 +55 07 41.3,?
2009 10 18,17.5,21 17 35.78 +26 01 12.0,IIb
2009 10 18,17.0,05 40 05.30 -55 32 03.9,Ia-p
2009 10 14,17.0,10 19 39.25 -25 49 21.9,Ic
2009 10 17,17.3,21 12 09.77 -01 28 32.5,II
2009 10 03,18.3,07 37 36.76 +41 56 56.9,II
2009 10 16,17.2,09 40 57.83 +47 37 04.0,IIb?
2009 10 11,18.2,05 18 54.84 +19 10 11.5,II
2009 09 29,18.6,03 41 10.67 -09 35 46.9,Ia
2009 10 11,17.2,02 25 48.28 +18 29 25.8,II
2009 10 08,16.0,20 26 26.03 +02 54 33.0,Ia
2009 10 09,17.9,02 27 39.82 +36 09 28.6,II
2009 10 09,17.6,23 17 42.71 +13 57 24.7,Ia?
2009 09 16,21.8,00 40 42.33 -09 31 54.4,Ia
2009 09 12,21.9,22 51 39.17 +11 16 55.7,Ia
2009 09 12,22.2,22 50 14.06 +10 33 35.1,Ia
2009 09 12,22.3,22 23 22.92 -01 32 26.5,Ia
2009 08 24,23.0,06 31 03.17 +24 49 13.4,IIP
2009 08 16,19.2,22 27 07.85 +17 14 36.6,Ia
2009 09 23,17.9,15 54 52.48 +32 05 05.6,Ia
2009 08 02,18.9,14 49 10.09 +29 25 10.4,III?
2009 09 22,15.8,17 40 34.33 +18 42 49.2,?
2009 09 27,18.0,23 04 52.98 +12 19 59.5,Ib
2009 09 17,17.8,05 28 40.07 +22 06 46.4,Ic
2009 09 19,18.4,00 29 56.04 -04 34 50.7,II
2009 09 17,18.2,01 02 43.63 -19 27 45.4,Ia
2009 09 17,17.4,17 23 41.93 +30 29 50.2,Ia
2009 08 30,18.6,23 02 41.05 -09 59 54.0,?
2009 09 19,18.2,02 42 15.41 +42 23 50.1,Ib/c
2009 09 15,17.9,13 30 10.60 +80 30 27.1,Ia
2009 09 08,18.1,03 17 53.02 +40 57 31.9,Ia
2009 09 15,15.0,05 55 25.64 -76 55 15.9,Ia
2009 08 21,17.6,02 58 14.19 +05 58 19.3,Ia
2009 09 01,15.5,22 40 10.35 -66 28 06.4,Ib
2009 08 27,16.3,19 57 48.68 -31 48 35.4,Ia
2009 07 30,16.4,02 57 07.15 +18 01 09.2,Ia
2009 08 25,19.0,16 26 52.41 +51 33 24.0,II
2009 08 13,18.1,02 50 11.61 +47 03 07.0,II
2009 08 26,17.9,22 23 08.26 -28 56 52.4,?
2009 08 13,18.9,21 02 15.08 +15 08 29.8,?
2009 08 25,16.5,23 22 35.32 -13 05 43.6,Ia
2009 08 24,15.6,03 33 22.07 -04 59 56.4,Ia
2009 08 21,17.7,06 33 52.66 -63 00 39.8,?
2009 08 22,15.3,12 43 51.21 -00 34 54.4,Ia
2009 08 20,17.6,17 19 35.15 +86 44 30.4,II
2009 08 21,18.5,07 01 05.58 +51 15 50.2,IIP
2009 08 21,17.3,15 55 31.05 +41 56 54.0,Ia-p
2009 08 20,17.5,02 38 11.61 -01 18 45.1,Ia
2009 08 18,17.8,04 24 36.73 -57 59 06.8,Ib/c
2009 07 24,19.3,02 48 13.90 +34 24 52.8,IIP
2009 08 11,16.6,19 16 34.25 -46 41 20.3,II
2009 08 05,14.8,04 53 18.03 -03 00 59.6,Ia
2009 08 06,14.7,04 17 39.92 -62 46 38.7,IIP
2009 07 22,17.5,17 26 11.25 +59 18 31.3,Ia
2009 08 03,17.8,19 56 50.61 +49 53 15.7,II
2009 08 02,18.7,22 16 27.02 +16 28 13.0,Ic
2009 07 17,21.4,22 49 12.74 +11 20 14.4,Ia
2009 07 17,18.6,19 20 34.05 +43 33 45.6,Ia
2009 06 25,18.6,14 54 32.92 +18 39 42.0,Ia
2009 06 25,21.9,14 53 29.82 +18 35 31.1,Ib
2009 07 19,17.5,00 56 46.92 -01 35 51.3,Ia
2009 07 28,18.4,17 55 50.93 +62 35 59.1,Ia-p
2009 07 29,15.9,00 40 34.13 +03 32 29.1,Ia
2009 07 30,15.5,12 10 38.03 +16 02 21.1,IIP
2009 07 26,16.7,02 58 23.96 +06 35 35.1,Ia
2009 07 25,18.4,02 28 33.34 +37 57 04.1,Ia
2009 07 24,17.5,02 32 00.31 +01 14 53.5,Ia
2009 07 17,14.7,21 35 44.44 -63 54 23.6,Ib
2009 07 11,18.0,17 31 10.14 +36 25 40.1,Ia
2009 07 11,17.0,20 38 37.42 -25 06 56.0,Ia
2009 06 26,19.1,22 45 46.08 +11 07 58.3,II
2009 07 10,18.0,23 23 56.26 +16 46 29.8,Ia
2009 07 10,16.1,03 20 34.73 -18 42 54.4,Ic
2009 07 09,16.9,12 54 42.61 -39 51 16.3,?
2009 07 09,17.2,00 37 21.79 -19 56 42.2,IIP
2009 07 03,17.5,16 22 12.33 +57 16 22.5,Ia
2009 07 02,15.8,11 20 16.96 +12 58 46.6,II
2009 05 23,23.0,22 50 26.33 +10 54 41.7,Ia
2009 04 23,20.7,15 22 29.65 +28 04 48.4,Ia
2009 07 02,16.5,02 36 58.21 -05 20 43.2,Ib/c
2009 05 24,21.9,22 25 07.38 +17 35 02.6,IIP
2009 05 23,19.2,22 11 51.33 -12 20 32.2,Ia
2009 05 23,19.8,12 57 23.41 -04 33 51.1,IIP
2009 05 22,20.7,15 22 13.62 +27 58 01.3,Ia
2009 05 22,20.9,13 48 38.39 +26 22 20.5,IIP
2009 06 27,16.3,15 54 50.94 -68 43 00.2,Ia
2009 06 25,16.1,10 04 06.78 +31 12 29.3,?
2009 06 15,16.6,21 18 49.42 -05 57 10.8,Ia
2009 06 14,18.8,17 25 38.28 +19 07 05.8,?
2009 06 02,18.3,22 14 52.81 +17 30 47.2,Ia
2009 05 30,19.0,14 19 33.93 +02 44 45.5,?
2009 05 29,18.3,16 38 54.17 +21 49 06.0,?
2009 05 26,18.0,16 05 23.53 -16 08 34.2,?
2009 05 23,18.2,14 27 58.10 +11 24 33.9,?
2009 06 23,18.1,13 34 43.71 +09 20 10.7,IIb
2009 06 23,18.3,21 44 27.28 +14 53 57.3,IIb
2009 06 20,15.9,00 30 28.56 -33 12 56.0,IIb
2009 06 17,18.1,19 10 19.11 +19 33 34.6,Ia?
2009 06 17,16.6,19 29 16.60 +72 08 12.9,IIP
2009 06 13,15.8,21 01 29.91 -52 01 00.2,Ia
2009 06 15,16.1,14 15 37.12 +14 16 48.7,Ia
2009 06 11,16.1,16 56 53.05 -65 57 18.9,II
2009 06 09,16.4,15 48 22.79 -75 40 47.8,Ic
2009 06 09,17.4,11 03 16.04 -16 46 09.7,II?
2009 06 09,14.9,14 47 25.83 -30 39 02.5,Ia
2009 06 08,16.2,23 28 26.78 +22 24 50.6,IIP
2009 06 08,16.5,16 54 48.37 -72 34 56.0,IIb
2009 06 01,16.1,23 24 05.13 +16 39 50.9,Ia
2009 05 29,18.5,16 53 11.28 +23 57 54.9,Ia
2009 06 06,16.6,20 32 18.50 -19 43 59.6,Ia
2009 06 02,16.3,16 29 44.22 +40 48 41.8,Ia
2009 06 01,15.7,02 12 09.00 +44 33 55.0,Ia
2009 05 23,17.9,14 24 06.03 +07 46 10.3,Ia
2009 06 01,17.0,18 19 11.93 +42 48 21.8,IIn
2009 06 01,16.1,01 32 15.05 -33 29 49.6,?
2009 05 18,19.1,11 49 10.41 +34 24 52.5,?
2009 05 16,18.5,10 45 22.18 +10 57 17.0,?
2009 05 14,18.4,15 06 34.82 +21 51 15.1,?
2009 05 13,19.4,14 00 14.92 +20 17 29.9,?
2009 04 24,19.3,12 24 51.16 +24 35 02.9,?
2009 05 30,17.7,16 25 10.10 +40 53 20.8,Ia-p
2009 05 29,18.5,22 44 23.90 -00 09 42.0,Ia
2009 05 27,13.8,12 06 22.97 -44 27 34.3,Ia
2009 05 30,17.7,14 06 05.80 +11 47 13.9,IIb
2009 05 20,20.4,15 44 38.77 +45 47 51.2,Ia
